time	sum_h_out_002_001
0.000000000000000e+000	-2.000000000000000e+000
9.765624452758720e-014	-1.999999960937502e+000
1.953124890551744e-013	-1.999999921875004e+000
3.906249781103488e-013	-1.999999843750009e+000
7.812499562206976e-013	-1.999999687500017e+000
1.562499912441395e-012	-1.999999375000035e+000
3.124999824882790e-012	-1.999998750000070e+000
6.249999649765581e-012	-1.999997500000140e+000
1.249999929953116e-011	-1.999995000000280e+000
2.499999859906232e-011	-1.999990000000560e+000
4.999999719812465e-011	-1.999980000001121e+000
9.999999439624929e-011	-1.999960000002242e+000
1.999999887924986e-010	-1.999920000004483e+000
3.999999775849972e-010	-1.999840000008966e+000
7.999999551699943e-010	-1.999680000017932e+000
1.599999910339989e-009	-1.999360000035864e+000
3.199999820679977e-009	-1.998720000071728e+000
6.399999641359955e-009	-1.997440000143456e+000
1.279999928271991e-008	-1.994880000286912e+000
2.256562428271991e-008	-1.990973750286912e+000
3.233124928271991e-008	-1.987067500286912e+000
4.209687428271991e-008	-1.983161250286912e+000
5.186249928271991e-008	-1.979255000286912e+000
6.162812428271991e-008	-1.975348750286912e+000
7.139374928271990e-008	-1.971442500286912e+000
8.115937428271990e-008	-1.967536250286912e+000
9.092499928271990e-008	-1.963630000286912e+000
1.006906242827199e-007	-1.959723750286912e+000
1.104562492827199e-007	-1.955817500286912e+000
1.202218742827199e-007	-1.951911250286912e+000
1.299874992827199e-007	-1.948005000286912e+000
1.397531242827199e-007	-1.944098750286912e+000
1.495187492827199e-007	-1.940192500286912e+000
1.592843742827199e-007	-1.936286250286912e+000
1.690499992827199e-007	-1.932380000286912e+000
1.788156242827199e-007	-1.928473750286912e+000
1.885812492827199e-007	-1.924567500286912e+000
1.983468742827199e-007	-1.920661250286912e+000
2.081124992827199e-007	-1.916755000286912e+000
2.178781242827199e-007	-1.912848750286912e+000
2.276437492827199e-007	-1.908942500286912e+000
2.374093742827199e-007	-1.905036250286912e+000
2.471749992827199e-007	-1.901130000286912e+000
2.569406242827199e-007	-1.897223750286912e+000
2.667062492827199e-007	-1.893317500286912e+000
2.764718742827200e-007	-1.889411250286912e+000
2.862374992827200e-007	-1.885505000286912e+000
2.960031242827200e-007	-1.881598750286912e+000
3.057687492827200e-007	-1.877692500286912e+000
3.155343742827201e-007	-1.873786250286912e+000
3.252999992827201e-007	-1.869880000286912e+000
3.350656242827201e-007	-1.865973750286912e+000
3.448312492827201e-007	-1.862067500286912e+000
3.545968742827202e-007	-1.858161250286912e+000
3.643624992827202e-007	-1.854255000286912e+000
3.741281242827202e-007	-1.850348750286912e+000
3.838937492827203e-007	-1.846442500286912e+000
3.936593742827203e-007	-1.842536250286912e+000
4.034249992827203e-007	-1.838630000286912e+000
4.131906242827203e-007	-1.834723750286912e+000
4.229562492827204e-007	-1.830817500286912e+000
4.327218742827204e-007	-1.826911250286912e+000
4.424874992827204e-007	-1.823005000286912e+000
4.522531242827204e-007	-1.819098750286912e+000
4.620187492827205e-007	-1.815192500286912e+000
4.717843742827205e-007	-1.811286250286912e+000
4.815499992827205e-007	-1.807380000286912e+000
4.913156242827205e-007	-1.803473750286912e+000
5.010812492827206e-007	-1.799567500286912e+000
5.108468742827206e-007	-1.795661250286912e+000
5.206124992827206e-007	-1.791755000286912e+000
5.303781242827206e-007	-1.787848750286912e+000
5.401437492827207e-007	-1.783942500286912e+000
5.499093742827207e-007	-1.780036250286912e+000
5.596749992827207e-007	-1.776130000286912e+000
5.694406242827207e-007	-1.772223750286912e+000
5.792062492827208e-007	-1.768317500286912e+000
5.889718742827208e-007	-1.764411250286912e+000
5.987374992827208e-007	-1.760505000286912e+000
6.085031242827208e-007	-1.756598750286912e+000
6.182687492827209e-007	-1.752692500286912e+000
6.280343742827209e-007	-1.748786250286912e+000
6.377999992827209e-007	-1.744880000286912e+000
6.475656242827209e-007	-1.740973750286912e+000
6.573312492827210e-007	-1.737067500286912e+000
6.670968742827210e-007	-1.733161250286912e+000
6.768624992827210e-007	-1.729255000286912e+000
6.866281242827210e-007	-1.725348750286912e+000
6.963937492827211e-007	-1.721442500286912e+000
7.061593742827211e-007	-1.717536250286912e+000
7.159249992827211e-007	-1.713630000286912e+000
7.256906242827211e-007	-1.709723750286912e+000
