time	sum_h_out_002_001
0.000000000000000e+000	-2.000000000000000e+000
1.953124890551744e-013	-1.999999960937502e+000
3.906249781103488e-013	-1.999999921875004e+000
7.812499562206976e-013	-1.999999843750009e+000
1.562499912441395e-012	-1.999999687500017e+000
3.124999824882790e-012	-1.999999375000035e+000
6.249999649765581e-012	-1.999998750000070e+000
1.249999929953116e-011	-1.999997500000140e+000
2.499999859906232e-011	-1.999995000000280e+000
4.999999719812465e-011	-1.999990000000560e+000
9.999999439624929e-011	-1.999980000001121e+000
1.999999887924986e-010	-1.999960000002242e+000
3.999999775849972e-010	-1.999920000004483e+000
7.999999551699943e-010	-1.999840000008966e+000
1.599999910339989e-009	-1.999680000017932e+000
3.199999820679977e-009	-1.999360000035864e+000
6.399999641359955e-009	-1.998720000071728e+000
1.279999928271991e-008	-1.997440000143456e+000
2.559999856543982e-008	-1.994880000286912e+000
4.513124856543982e-008	-1.990973750286912e+000
6.466249856543982e-008	-1.987067500286912e+000
8.419374856543981e-008	-1.983161250286912e+000
1.037249985654398e-007	-1.979255000286912e+000
1.232562485654398e-007	-1.975348750286912e+000
1.427874985654398e-007	-1.971442500286912e+000
1.623187485654398e-007	-1.967536250286912e+000
1.818499985654398e-007	-1.963630000286912e+000
2.013812485654398e-007	-1.959723750286912e+000
2.209124985654398e-007	-1.955817500286912e+000
2.404437485654398e-007	-1.951911250286912e+000
2.599749985654398e-007	-1.948005000286912e+000
2.795062485654398e-007	-1.944098750286912e+000
2.990374985654398e-007	-1.940192500286912e+000
3.185687485654398e-007	-1.936286250286912e+000
3.380999985654398e-007	-1.932380000286912e+000
3.576312485654398e-007	-1.928473750286912e+000
3.771624985654398e-007	-1.924567500286912e+000
3.966937485654398e-007	-1.920661250286912e+000
4.162249985654398e-007	-1.916755000286912e+000
4.357562485654398e-007	-1.912848750286912e+000
4.552874985654398e-007	-1.908942500286912e+000
4.748187485654398e-007	-1.905036250286912e+000
4.943499985654398e-007	-1.901130000286912e+000
5.138812485654398e-007	-1.897223750286912e+000
5.334124985654399e-007	-1.893317500286912e+000
5.529437485654399e-007	-1.889411250286912e+000
5.724749985654400e-007	-1.885505000286912e+000
5.920062485654400e-007	-1.881598750286912e+000
