time	sum_h_out_002_001
3.822019226804375e-09	-1.177649522204080e-02
3.822055964701923e-09	-1.177694537897032e-02
3.822129440497022e-09	-1.177784568817512e-02
3.822276392087217e-09	-1.177964627865851e-02
3.822280984324411e-09	-1.177970254649294e-02
3.822290168798798e-09	-1.177981508208909e-02
3.822292464917395e-09	-1.177984321596086e-02
3.822297057154589e-09	-1.177989948368620e-02
3.822306241628975e-09	-1.178001201902780e-02
3.822306246113582e-09	-1.178001207397666e-02
3.822306711774869e-09	-1.178001777961757e-02
3.822310437065167e-09	-1.178006342466493e-02
3.822314162355466e-09	-1.178010906974577e-02
3.822315093678040e-09	-1.178012048101454e-02
3.822316956323190e-09	-1.178014330354909e-02
3.822320681613488e-09	-1.178018894860025e-02
3.822328132194085e-09	-1.178028023863078e-02
3.822343033355279e-09	-1.178046281840468e-02
3.822372835677666e-09	-1.178082797680380e-02
3.822432440322442e-09	-1.178155828900729e-02
3.822551649611993e-09	-1.178301889503468e-02
3.822790068191094e-09	-1.178594003356598e-02
3.823266905349297e-09	-1.179178201649224e-02
3.824220579665704e-09	-1.180346480544804e-02
3.826127928298516e-09	-1.182682567292552e-02
3.829942625564141e-09	-1.187352854358557e-02
3.830061834853692e-09	-1.187498759050090e-02
3.830300253432794e-09	-1.187790563513037e-02
3.830359858077569e-09	-1.187863512783676e-02
3.830479067367120e-09	-1.188009410094784e-02
3.830508869689508e-09	-1.188045883961240e-02
3.830568474334283e-09	-1.188118831386592e-02
3.830583375495477e-09	-1.188137068127594e-02
3.830613177817864e-09	-1.188173541532705e-02
3.830614109140439e-09	-1.188174681324061e-02
3.830614341971083e-09	-1.188174966271891e-02
3.830614342947646e-09	-1.188174967467049e-02
3.830614808608933e-09	-1.188175537362668e-02
3.830615274270220e-09	-1.188176107258249e-02
3.830615332477881e-09	-1.188176178495185e-02
3.830619057768179e-09	-1.188180737655984e-02
3.830619989090753e-09	-1.188181877446392e-02
3.830621851735903e-09	-1.188184157026908e-02
3.830625577026201e-09	-1.188188716186138e-02
3.830633027606798e-09	-1.188197834497390e-02
