time	final_out
0.000000000000000e+00	9.500000000000001e-01
9.765624960978488e-15	9.500000000000001e-01
1.953124992195698e-14	9.500000000000001e-01
3.906249984391395e-14	9.500000000000001e-01
7.812499968782791e-14	9.500000000000001e-01
1.562499993756558e-13	9.500000000000001e-01
3.124999987513116e-13	9.500000000000001e-01
6.249999975026233e-13	9.500000000000001e-01
1.249999995005247e-12	9.500000000000001e-01
2.499999990010493e-12	9.500000000000001e-01
4.999999980020986e-12	9.500000000000001e-01
9.999999960041972e-12	9.500000000000001e-01
1.999999992008394e-11	9.500000000000001e-01
3.999999984016789e-11	9.500000000000001e-01
7.999999968033578e-11	9.500000000000001e-01
1.599999993606716e-10	9.500000000000001e-01
3.199999987213431e-10	9.500000000000001e-01
6.399999974426862e-10	9.500000000000001e-01
9.999999999999999e-10	9.500000000000001e-01
1.063999999744268e-09	9.537759999849119e-01
1.191999999232806e-09	9.613279999547356e-01
1.447999998209880e-09	9.764319998943830e-01
1.760374881712465e-09	9.948621180210355e-01
2.000000000000000e-09	1.009000000000000e+00
2.038178782877038e-09	1.009000000000000e+00
2.114536348631113e-09	1.009000000000000e+00
2.267251480139264e-09	1.009000000000000e+00
2.434462854554789e-09	1.009000000000000e+00
2.602178937332947e-09	1.009000000000000e+00
2.769377930387191e-09	1.009000000000000e+00
2.977194019307036e-09	1.009000000000000e+00
3.290146118924367e-09	1.009000000000000e+00
3.584598164867277e-09	1.009000000000000e+00
3.937000525857064e-09	1.009000000000000e+00
4.327898221776264e-09	1.009000000000000e+00
4.970800184102197e-09	1.009000000000000e+00
5.665432797194736e-09	1.009000000000000e+00
6.540350835210055e-09	1.009000000000000e+00
7.516913335210055e-09	1.009000000000000e+00
8.493475835210056e-09	1.009000000000000e+00
9.470038335210057e-09	1.009000000000000e+00
1.044660083521006e-08	1.009000000000000e+00
1.100000000000000e-08	1.009000000000000e+00
1.109765625000000e-08	1.009000000000000e+00
1.129296875000000e-08	1.009000000000000e+00
1.168359375000000e-08	1.009000000000000e+00
1.200000000000000e-08	1.009000000000000e+00
1.207812500000000e-08	1.009000000000000e+00
1.223437500000000e-08	1.009000000000000e+00
1.254687500000000e-08	1.009000000000000e+00
1.317187500000000e-08	1.009000000000000e+00
1.407346753975738e-08	1.009000000000000e+00
1.505003003975738e-08	1.009000000000000e+00
1.602659253975738e-08	1.009000000000000e+00
1.700315503975738e-08	1.009000000000000e+00
1.797971753975738e-08	1.009000000000000e+00
1.895628003975738e-08	1.009000000000000e+00
1.993284253975738e-08	1.009000000000000e+00
2.090940503975738e-08	1.009000000000000e+00
2.100000000000000e-08	1.009000000000000e+00
2.109765625000000e-08	1.009000000000000e+00
2.129296875000000e-08	1.009000000000000e+00
2.168359375000000e-08	1.009000000000000e+00
2.200000000000000e-08	1.009000000000000e+00
2.207812500000000e-08	1.009000000000000e+00
2.223437500000000e-08	1.009000000000000e+00
2.254687500000000e-08	1.009000000000000e+00
2.317187500000000e-08	1.009000000000000e+00
2.385422914595860e-08	1.009000000000000e+00
2.475498822048524e-08	1.009000000000000e+00
2.573155072048524e-08	1.009000000000000e+00
2.670811322048524e-08	1.009000000000000e+00
2.768467572048524e-08	1.009000000000000e+00
2.866123822048524e-08	1.009000000000000e+00
2.963780072048524e-08	1.009000000000000e+00
3.061436322048524e-08	1.009000000000000e+00
3.159092572048524e-08	1.009000000000000e+00
3.256748822048524e-08	1.009000000000000e+00
3.354405072048523e-08	1.009000000000000e+00
3.452061322048523e-08	1.009000000000000e+00
3.549717572048523e-08	1.009000000000000e+00
3.647373822048523e-08	1.009000000000000e+00
3.745030072048522e-08	1.009000000000000e+00
3.842686322048522e-08	1.009000000000000e+00
3.940342572048522e-08	1.009000000000000e+00
4.037998822048522e-08	1.009000000000000e+00
4.135655072048521e-08	1.009000000000000e+00
4.233311322048521e-08	1.009000000000000e+00
4.330967572048521e-08	1.009000000000000e+00
4.428623822048520e-08	1.009000000000000e+00
4.526280072048520e-08	1.009000000000000e+00
4.623936322048520e-08	1.009000000000000e+00
4.721592572048520e-08	1.009000000000000e+00
4.819248822048519e-08	1.009000000000000e+00
4.916905072048519e-08	1.009000000000000e+00
5.014561322048519e-08	1.009000000000000e+00
5.112217572048518e-08	1.009000000000000e+00
5.209873822048518e-08	1.009000000000000e+00
5.307530072048518e-08	1.009000000000000e+00
5.405186322048518e-08	1.009000000000000e+00
5.502842572048517e-08	1.009000000000000e+00
5.600498822048517e-08	1.009000000000000e+00
5.698155072048517e-08	1.009000000000000e+00
5.795811322048517e-08	1.009000000000000e+00
5.893467572048516e-08	1.009000000000000e+00
5.991123822048517e-08	1.009000000000000e+00
6.088780072048516e-08	1.009000000000000e+00
6.186436322048516e-08	1.009000000000000e+00
6.284092572048516e-08	1.009000000000000e+00
6.381748822048516e-08	1.009000000000000e+00
6.479405072048515e-08	1.009000000000000e+00
6.577061322048515e-08	1.009000000000000e+00
6.674717572048515e-08	1.009000000000000e+00
6.772373822048515e-08	1.009000000000000e+00
6.870030072048514e-08	1.009000000000000e+00
6.967686322048514e-08	1.009000000000000e+00
7.065342572048514e-08	1.009000000000000e+00
7.162998822048513e-08	1.009000000000000e+00
7.260655072048513e-08	1.009000000000000e+00
7.358311322048513e-08	1.009000000000000e+00
7.455967572048513e-08	1.009000000000000e+00
7.553623822048512e-08	1.009000000000000e+00
7.651280072048512e-08	1.009000000000000e+00
7.748936322048512e-08	1.009000000000000e+00
7.846592572048512e-08	1.009000000000000e+00
7.944248822048511e-08	1.009000000000000e+00
8.041905072048511e-08	1.009000000000000e+00
8.139561322048511e-08	1.009000000000000e+00
8.237217572048510e-08	1.009000000000000e+00
8.334873822048510e-08	1.009000000000000e+00
8.432530072048510e-08	1.009000000000000e+00
8.530186322048510e-08	1.009000000000000e+00
8.627842572048509e-08	1.009000000000000e+00
8.725498822048509e-08	1.009000000000000e+00
8.823155072048509e-08	1.009000000000000e+00
8.920811322048509e-08	1.009000000000000e+00
9.018467572048508e-08	1.009000000000000e+00
9.116123822048508e-08	1.009000000000000e+00
9.213780072048508e-08	1.009000000000000e+00
9.311436322048507e-08	1.009000000000000e+00
9.409092572048507e-08	1.009000000000000e+00
9.506748822048507e-08	1.009000000000000e+00
9.604405072048507e-08	1.009000000000000e+00
9.702061322048506e-08	1.009000000000000e+00
9.799717572048506e-08	1.009000000000000e+00
9.897373822048506e-08	1.009000000000000e+00
9.995030072048505e-08	1.009000000000000e+00
1.009268632204851e-07	1.009000000000000e+00
1.019034257204850e-07	1.009000000000000e+00
1.028799882204850e-07	1.009000000000000e+00
1.038565507204850e-07	1.009000000000000e+00
1.048331132204850e-07	1.009000000000000e+00
1.058096757204850e-07	1.009000000000000e+00
1.067862382204850e-07	1.009000000000000e+00
1.077628007204850e-07	1.009000000000000e+00
1.087393632204850e-07	1.009000000000000e+00
1.097159257204850e-07	1.009000000000000e+00
1.106924882204850e-07	1.009000000000000e+00
1.116690507204850e-07	1.009000000000000e+00
1.126456132204850e-07	1.009000000000000e+00
1.136221757204850e-07	1.009000000000000e+00
1.145987382204850e-07	1.009000000000000e+00
1.155753007204850e-07	1.009000000000000e+00
1.165518632204850e-07	1.009000000000000e+00
1.175284257204850e-07	1.009000000000000e+00
1.185049882204850e-07	1.009000000000000e+00
1.194815507204850e-07	1.009000000000000e+00
1.204581132204850e-07	1.009000000000000e+00
1.214346757204850e-07	1.009000000000000e+00
1.224112382204850e-07	1.009000000000000e+00
1.233878007204850e-07	1.009000000000000e+00
1.243643632204850e-07	1.009000000000000e+00
1.253409257204850e-07	1.009000000000000e+00
1.263174882204850e-07	1.009000000000000e+00
1.272940507204850e-07	1.009000000000000e+00
1.282706132204850e-07	1.009000000000000e+00
1.292471757204850e-07	1.009000000000000e+00
1.302237382204850e-07	1.009000000000000e+00
1.312003007204850e-07	1.009000000000000e+00
1.321768632204850e-07	1.009000000000000e+00
1.331534257204850e-07	1.009000000000000e+00
1.341299882204850e-07	1.009000000000000e+00
1.351065507204850e-07	1.009000000000000e+00
1.360831132204850e-07	1.009000000000000e+00
1.370596757204850e-07	1.009000000000000e+00
1.380362382204849e-07	1.009000000000000e+00
1.390128007204849e-07	1.009000000000000e+00
1.399893632204849e-07	1.009000000000000e+00
1.409659257204849e-07	1.009000000000000e+00
1.419424882204849e-07	1.009000000000000e+00
1.429190507204849e-07	1.009000000000000e+00
1.438956132204849e-07	1.009000000000000e+00
1.448721757204849e-07	1.009000000000000e+00
1.458487382204849e-07	1.009000000000000e+00
1.468253007204849e-07	1.009000000000000e+00
1.478018632204849e-07	1.009000000000000e+00
1.487784257204849e-07	1.009000000000000e+00
1.497549882204849e-07	1.009000000000000e+00
1.507315507204849e-07	1.009000000000000e+00
1.517081132204849e-07	1.009000000000000e+00
1.526846757204849e-07	1.009000000000000e+00
1.536612382204849e-07	1.009000000000000e+00
1.546378007204849e-07	1.009000000000000e+00
1.556143632204849e-07	1.009000000000000e+00
1.565909257204849e-07	1.009000000000000e+00
1.575674882204849e-07	1.009000000000000e+00
1.585440507204849e-07	1.009000000000000e+00
1.595206132204849e-07	1.009000000000000e+00
1.604971757204849e-07	1.009000000000000e+00
1.614737382204849e-07	1.009000000000000e+00
1.624503007204849e-07	1.009000000000000e+00
1.634268632204849e-07	1.009000000000000e+00
1.644034257204849e-07	1.009000000000000e+00
1.653799882204849e-07	1.009000000000000e+00
1.663565507204849e-07	1.009000000000000e+00
1.673331132204849e-07	1.009000000000000e+00
1.683096757204849e-07	1.009000000000000e+00
1.692862382204849e-07	1.009000000000000e+00
1.702628007204849e-07	1.009000000000000e+00
1.712393632204849e-07	1.009000000000000e+00
1.722159257204849e-07	1.009000000000000e+00
1.731924882204849e-07	1.009000000000000e+00
1.741690507204848e-07	1.009000000000000e+00
1.751456132204848e-07	1.009000000000000e+00
1.761221757204848e-07	1.009000000000000e+00
1.770987382204848e-07	1.009000000000000e+00
