PWL 0.00ns 0.950V 1.00ns 0.950V 2.00ns 1.023V 300.00ns 1.023V 301.00ns 0.950V
PWL 0.00ns 0.950V 1.00ns 0.950V 2.00ns 1.136V 300.00ns 1.136V 301.00ns 0.950V
PWL 0.00ns 0.950V 1.00ns 0.950V 2.00ns 1.109V 300.00ns 1.109V 301.00ns 0.950V
PWL 0.00ns 0.950V 1.00ns 0.950V 2.00ns 1.062V 300.00ns 1.062V 301.00ns 0.950V
PWL 0.00ns 0.950V 1.00ns 0.950V 2.00ns 1.044V 300.00ns 1.044V 301.00ns 0.950V
PWL 0.00ns 0.950V 1.00ns 0.950V 2.00ns 1.100V 300.00ns 1.100V 301.00ns 0.950V
PWL 0.00ns 0.950V 1.00ns 0.950V 2.00ns 1.085V 300.00ns 1.085V 301.00ns 0.950V
PWL 0.00ns 0.950V 1.00ns 0.950V 2.00ns 1.091V 300.00ns 1.091V 301.00ns 0.950V
PWL 0.00ns 0.950V 1.00ns 0.950V 2.00ns 1.020V 300.00ns 1.020V 301.00ns 0.950V
PWL 0.00ns 0.950V 1.00ns 0.950V 2.00ns 1.133V 300.00ns 1.133V 301.00ns 0.950V
PWL 0.00ns 0.950V 1.00ns 0.950V 2.00ns 1.107V 300.00ns 1.107V 301.00ns 0.950V
PWL 0.00ns 0.950V 1.00ns 0.950V 2.00ns 1.074V 300.00ns 1.074V 301.00ns 0.950V
PWL 0.00ns 0.950V 1.00ns 0.950V 2.00ns 1.045V 300.00ns 1.045V 301.00ns 0.950V
PWL 0.00ns 0.950V 1.00ns 0.950V 2.00ns 1.115V 300.00ns 1.115V 301.00ns 0.950V
PWL 0.00ns 0.950V 1.00ns 0.950V 2.00ns 1.057V 300.00ns 1.057V 301.00ns 0.950V
PWL 0.00ns 0.950V 1.00ns 0.950V 2.00ns 1.135V 300.00ns 1.135V 301.00ns 0.950V
PWL 0.00ns 0.950V 1.00ns 0.950V 2.00ns 1.033V 300.00ns 1.033V 301.00ns 0.950V
PWL 0.00ns 0.950V 1.00ns 0.950V 2.00ns 1.150V 300.00ns 1.150V 301.00ns 0.950V
PWL 0.00ns 0.950V 11.00ns 0.950V 12.00ns 1.150V 310.00ns 1.150V 311.00ns 0.950V
PWL 0.00ns 0.950V 21.00ns 0.950V 22.00ns 1.150V 320.00ns 1.150V 321.00ns 0.950V
