time	sum_h_out_002_001
3.823335640045867e-09	-4.865629298931068e-07
3.823335643683846e-09	-4.865629298627880e-07
3.823335876514490e-09	-4.865629279261891e-07
3.823335905618320e-09	-4.865629276841371e-07
3.823335963825981e-09	-4.865629272000497e-07
3.823336196656625e-09	-4.865629252634484e-07
3.823336662317912e-09	-4.865629213909255e-07
3.823338524963061e-09	-4.865629058987848e-07
3.823338583170722e-09	-4.865629054147884e-07
3.823338583659003e-09	-4.865629054107222e-07
3.823368385981390e-09	-4.865626575283668e-07
3.823398188303778e-09	-4.865624096379399e-07
3.823457792948553e-09	-4.865619137354169e-07
3.823577002238104e-09	-4.865609213894950e-07
3.823815420817206e-09	-4.865589346294401e-07
3.824292257975409e-09	-4.865549527521006e-07
3.825245932291815e-09	-4.865469557315762e-07
3.827153280924628e-09	-4.865308291461643e-07
3.827630118082831e-09	-4.865267644882352e-07
3.828583792399237e-09	-4.865186143715581e-07
3.830491141032050e-09	-4.865021811038929e-07
3.830550745676825e-09	-4.865016646303967e-07
3.830669954966376e-09	-4.865006313516763e-07
3.830908373545478e-09	-4.864985627697655e-07
3.830915824126075e-09	-4.864984980816915e-07
3.830930725287269e-09	-4.864983687002473e-07
3.830930783494929e-09	-4.864983681948514e-07
3.830932646140079e-09	-4.864983520171804e-07
3.830936371430377e-09	-4.864983196668630e-07
3.830937302752952e-09	-4.864983115803816e-07
3.830939165398101e-09	-4.864982954072796e-07
3.830942890688399e-09	-4.864982630600728e-07
3.830950341268997e-09	-4.864981983624652e-07
3.830965242430190e-09	-4.864980689571196e-07
3.830995044752578e-09	-4.864978101135131e-07
3.831054649397353e-09	-4.864972922995313e-07
3.831173858686904e-09	-4.864962561645501e-07
3.831412277266006e-09	-4.864941818646566e-07
3.831889114424209e-09	-4.864900251473066e-07
3.832842788740615e-09	-4.864816792765232e-07
3.834750137373428e-09	-4.864648581945060e-07
3.838564834639052e-09	-4.864307022924927e-07
3.846194229170303e-09	-4.863603651540486e-07
3.861453018232803e-09	-4.862118207527722e-07
3.891970596357803e-09	-4.858850008791696e-07
3.953005752607803e-09	-4.851251828801506e-07
4.075076065107802e-09	-4.832669862749661e-07
4.319216690107803e-09	-4.787004695463785e-07
