time	final_out
6.448291847282694e-08	1.283988299805057e+00
6.545948097282693e-08	1.283984511263923e+00
6.643604347282693e-08	1.283980975645451e+00
6.741260597282693e-08	1.283977681345940e+00
6.838916847282693e-08	1.283974616452947e+00
6.936573097282692e-08	1.283971768933417e+00
7.034229347282692e-08	1.283969126786063e+00
7.131885597282692e-08	1.283966678163452e+00
7.229541847282691e-08	1.283964411468205e+00
7.327198097282691e-08	1.283962315427563e+00
7.424854347282691e-08	1.283960379149634e+00
7.522510597282691e-08	1.283958592164549e+00
7.620166847282690e-08	1.283956944452922e+00
7.717823097282690e-08	1.283955426464026e+00
7.815479347282690e-08	1.283954029125356e+00
7.913135597282690e-08	1.283952743845412e+00
8.010791847282689e-08	1.283951562510841e+00
8.108448097282689e-08	1.283950477479235e+00
8.206104347282689e-08	1.283949481568327e+00
8.303760597282688e-08	1.283948568042591e+00
8.401416847282688e-08	1.283947730597711e+00
8.499073097282688e-08	1.283946963343668e+00
8.596729347282688e-08	1.283946260786700e+00
8.694385597282687e-08	1.283945617810729e+00
8.792041847282687e-08	1.283945029658362e+00
8.889698097282687e-08	1.283944491911913e+00
8.987354347282687e-08	1.283944000474463e+00
9.085010597282686e-08	1.283943551551293e+00
9.182666847282686e-08	1.283943141631665e+00
9.280323097282686e-08	1.283942767471223e+00
9.377979347282685e-08	1.283942426074917e+00
9.475635597282685e-08	1.283942114680649e+00
9.573291847282685e-08	1.283941830743540e+00
9.670948097282685e-08	1.283941571921004e+00
9.768604347282684e-08	1.283941336058493e+00
9.866260597282684e-08	1.283941121176070e+00
9.963916847282684e-08	1.283940925455642e+00
1.006157309728268e-07	1.283940747229022e+00
1.015922934728268e-07	1.283940584966610e+00
1.025688559728268e-07	1.283940437266871e+00
1.035454184728268e-07	1.283940302846405e+00
1.045219809728268e-07	1.283940180530742e+00
1.054985434728268e-07	1.283940069245688e+00
1.064751059728268e-07	1.283939968009340e+00
1.074516684728268e-07	1.283939875924593e+00
1.084282309728268e-07	1.283939792172262e+00
1.094047934728268e-07	1.283939716004620e+00
1.103813559728268e-07	1.283939646739512e+00
1.113579184728268e-07	1.283939583754823e+00
1.123344809728268e-07	1.283939526483455e+00
1.133110434728268e-07	1.283939474408617e+00
1.142876059728268e-07	1.283939427059559e+00
1.152641684728268e-07	1.283939384007579e+00
1.162407309728268e-07	1.283939344862411e+00
1.172172934728268e-07	1.283939309268850e+00
1.181938559728268e-07	1.283939276903719e+00
1.191704184728268e-07	1.283939247473019e+00
1.201469809728268e-07	1.283939220709383e+00
1.211235434728268e-07	1.283939196369681e+00
1.221001059728268e-07	1.283939174232898e+00
1.230766684728268e-07	1.283939154098120e+00
1.240532309728268e-07	1.283939135782763e+00
1.250297934728268e-07	1.283939119120892e+00
1.260063559728268e-07	1.283939103961755e+00
