time	final_out
3.405065681261012e-09	3.035408764140396e-03
3.423929988506690e-09	3.035408763246068e-03
3.461658602998047e-09	3.035408761456487e-03
3.462837622200902e-09	3.035408761399860e-03
3.465195660606612e-09	3.035408761287166e-03
3.465785170208039e-09	3.035408761259217e-03
3.466964189410894e-09	3.035408761203286e-03
3.467258944211608e-09	3.035408761189133e-03
3.467848453813035e-09	3.035408761161466e-03
3.469027473015890e-09	3.035408761106734e-03
3.471385511421600e-09	3.035408760995554e-03
3.476101588233019e-09	3.035408760773506e-03
3.485533741855858e-09	3.035408760334686e-03
3.504398049101537e-09	3.035408759479607e-03
3.542126663592894e-09	3.035408757911134e-03
3.551558817215733e-09	3.035408757564869e-03
3.570423124461411e-09	3.035408756917139e-03
3.608151738952768e-09	3.035408755949627e-03
3.617583892575608e-09	3.035408755803863e-03
3.636448199821286e-09	3.035408755593185e-03
3.674176814312643e-09	3.035408755737925e-03
3.749634043295357e-09	3.035408759237418e-03
3.768498350541035e-09	3.035408761120260e-03
3.806226965032392e-09	3.035408765786710e-03
3.815659118655231e-09	3.035408767306524e-03
3.818017157060941e-09	3.035408767694283e-03
3.822733233872360e-09	3.035408768486061e-03
3.822880611272717e-09	3.035408768511624e-03
3.823175366073431e-09	3.035408768562386e-03
3.823249054773609e-09	3.035408768575385e-03
3.823267476948654e-09	3.035408768578843e-03
3.823304321298743e-09	3.035408768585514e-03
3.823313532386265e-09	3.035408768587119e-03
3.823331954561310e-09	3.035408768590307e-03
3.823331963556513e-09	3.035408768590308e-03
3.823466074007257e-09	3.035408768697531e-03
3.823495876329645e-09	3.035408768709219e-03
3.823555480974421e-09	3.035408768709422e-03
3.823674690263971e-09	3.035408768712170e-03
3.823913108843073e-09	3.035408768718727e-03
3.824389946001276e-09	3.035408768756643e-03
3.825343620317682e-09	3.035408768873838e-03
3.827250968950495e-09	3.035408769162719e-03
3.827727806108698e-09	3.035408769242925e-03
3.828681480425104e-09	3.035408769406817e-03
3.830588829057917e-09	3.035408769748768e-03
3.830648433702692e-09	3.035408769759814e-03
3.830767642992243e-09	3.035408769782105e-03
3.830797445314631e-09	3.035408769787455e-03
3.830857049959407e-09	3.035408769797764e-03
3.830976259248957e-09	3.035408769818101e-03
3.831006061571345e-09	3.035408769823798e-03
3.831065666216121e-09	3.035408769835166e-03
3.831184875505672e-09	3.035408769857609e-03
3.831423294084773e-09	3.035408769901688e-03
3.831900131242976e-09	3.035408769989299e-03
3.832853805559382e-09	3.035408770167133e-03
3.834761154192195e-09	3.035408770526494e-03
3.838575851457820e-09	3.035408771263957e-03
3.846205245989070e-09	3.035408772807374e-03
3.861464035051570e-09	3.035408776186731e-03
3.891981613176570e-09	3.035408784231701e-03
3.953016769426570e-09	3.035408806291234e-03
4.075087081926570e-09	3.035408881629720e-03
4.319227706926570e-09	3.035409210946486e-03
4.380262863176570e-09	3.035409346737441e-03
4.502333175676570e-09	3.035409657612978e-03
4.502810012834772e-09	3.035409658981775e-03
4.503763687151179e-09	3.035409661721890e-03
4.504002105730280e-09	3.035409662408233e-03
4.504478942888483e-09	3.035409663781042e-03
4.504598152178034e-09	3.035409664123813e-03
4.504627954500422e-09	3.035409664210037e-03
4.504635405081019e-09	3.035409664231729e-03
4.504650306242212e-09	3.035409664275345e-03
4.504680108564600e-09	3.035409664362543e-03
4.504680110383589e-09	3.035409664362549e-03
4.504680110871871e-09	3.035409664362550e-03
4.504681973517020e-09	3.035409664369257e-03
4.504683836162170e-09	3.035409664376146e-03
4.504683894369831e-09	3.035409664376320e-03
4.504683896188820e-09	3.035409664376325e-03
4.504684129019464e-09	3.035409664377175e-03
4.504684129507745e-09	3.035409664377177e-03
4.504684362338389e-09	3.035409664378018e-03
4.504684827999676e-09	3.035409664379543e-03
4.504684831637655e-09	3.035409664379589e-03
4.504685064468299e-09	3.035409664380434e-03
4.504685122675960e-09	3.035409664380608e-03
4.504685355506604e-09	3.035409664381757e-03
4.504687218151753e-09	3.035409664388605e-03
4.504690943442051e-09	3.035409664400952e-03
4.504698394022648e-09	3.035409664422182e-03
4.504713295183842e-09	3.035409664463804e-03
4.504743097506230e-09	3.035409664548877e-03
4.504802702151005e-09	3.035409664719709e-03
4.504921911440556e-09	3.035409665061990e-03
4.505160330019658e-09	3.035409665746859e-03
4.505637167177861e-09	3.035409667119541e-03
4.506590841494267e-09	3.035409669871133e-03
4.508498190127080e-09	3.035409675389943e-03
4.512312887392704e-09	3.035409686488114e-03
4.519942281923955e-09	3.035409708908154e-03
4.535201070986455e-09	3.035409754615376e-03
4.565718649111455e-09	3.035409849373766e-03
4.626753805361455e-09	3.035410050898568e-03
4.748824117861454e-09	3.035410484276236e-03
4.992964742861454e-09	3.035411192828007e-03
5.481245992861455e-09	3.035406814085193e-03
5.802371697319365e-09	3.035394471036434e-03
6.010540213566348e-09	3.035378723946061e-03
6.192233211317013e-09	3.035357588023445e-03
6.402692404380828e-09	3.035321716443317e-03
6.555639705283367e-09	3.035286367322940e-03
6.704447705247050e-09	3.035243022167611e-03
6.845892929987034e-09	3.035192521905238e-03
7.000762425725487e-09	3.035125552038316e-03
7.149704981512321e-09	3.035048448267609e-03
7.381359821801194e-09	3.034900896461108e-03
7.617432393735475e-09	3.034712579430576e-03
7.840857780455558e-09	3.034495403832866e-03
7.990753999151673e-09	3.034326546435497e-03
8.113355447223116e-09	3.034173214763179e-03
8.263796935859257e-09	3.033963935076189e-03
8.392565803854445e-09	3.033763697935397e-03
8.514822363540092e-09	3.033552235393395e-03
8.643454841340020e-09	3.033302726577153e-03
8.758316975080302e-09	3.033051877225984e-03
8.853917861325483e-09	3.032819123166016e-03
8.974423476288496e-09	3.032488573986648e-03
9.106141290148217e-09	3.032071171104134e-03
9.297059965325369e-09	3.031337305492933e-03
9.522526519188348e-09	3.030226633995962e-03
9.769974952798496e-09	3.028627424247565e-03
